"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Mar 06 23:20:19 PST 2022","Sun Mar 06 23:20:20 PST 2022","1254","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_1h7lx29q0bxb9_browseFeaturedPlaylists","test_1h7lx29q0bxb9_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:34 PST 2022","Sun Mar 06 23:20:34 PST 2022","100","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_vf46rjsauxra_browseFeaturedPlaylists","test_vf46rjsauxra_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:26 PST 2022","Sun Mar 06 23:20:26 PST 2022","131","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_qe9v8vkzapuq_browseFeaturedPlaylists","test_qe9v8vkzapuq_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:22 PST 2022","Sun Mar 06 23:20:23 PST 2022","108","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_1ievhnokbttmb_browseFeaturedPlaylists","test_1ievhnokbttmb_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:27 PST 2022","Sun Mar 06 23:20:28 PST 2022","98","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_s0ugwtsfqpmh_browseFeaturedPlaylists","test_s0ugwtsfqpmh_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:20 PST 2022","Sun Mar 06 23:20:20 PST 2022","156","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_1hrawbs5yh10i_browseFeaturedPlaylists","test_1hrawbs5yh10i_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:23 PST 2022","Sun Mar 06 23:20:23 PST 2022","98","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_1iv9aje3m85yp_browseFeaturedPlaylists","test_1iv9aje3m85yp_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:27 PST 2022","Sun Mar 06 23:20:27 PST 2022","107","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_rhr6fzye2mw5_browseFeaturedPlaylists","test_rhr6fzye2mw5_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:32 PST 2022","Sun Mar 06 23:20:32 PST 2022","104","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_ure1yhpgoxme_browseFeaturedPlaylists","test_ure1yhpgoxme_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:22 PST 2022","Sun Mar 06 23:20:22 PST 2022","249","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_1ibec4q6f4ncj_browseFeaturedPlaylists","test_1ibec4q6f4ncj_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:24 PST 2022","Sun Mar 06 23:20:25 PST 2022","110","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_1jy7p5rxzjtk1_browseFeaturedPlaylists","test_1jy7p5rxzjtk1_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:26 PST 2022","Sun Mar 06 23:20:26 PST 2022","102","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_qe3vbxnqk3tv_browseFeaturedPlaylists","test_qe3vbxnqk3tv_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:20 PST 2022","Sun Mar 06 23:20:20 PST 2022","133","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_1hrghd16m7l84_browseFeaturedPlaylists","test_1hrghd16m7l84_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:33 PST 2022","Sun Mar 06 23:20:33 PST 2022","398","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_vbnhat12xq2f_browseFeaturedPlaylists","test_vbnhat12xq2f_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:28 PST 2022","Sun Mar 06 23:20:28 PST 2022","97","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_s4ruypk4pa2f_browseFeaturedPlaylists","test_s4ruypk4pa2f_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:30 PST 2022","Sun Mar 06 23:20:30 PST 2022","139","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_tolonuul4pbp_browseFeaturedPlaylists","test_tolonuul4pbp_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:31 PST 2022","Sun Mar 06 23:20:31 PST 2022","105","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_u82xkoo7jt4p_browseFeaturedPlaylists","test_u82xkoo7jt4p_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:25 PST 2022","Sun Mar 06 23:20:25 PST 2022","148","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_1jyjal33ua2pf_browseFeaturedPlaylists","test_1jyjal33ua2pf_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:31 PST 2022","Sun Mar 06 23:20:32 PST 2022","375","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_ubrds6s40jsk_browseFeaturedPlaylists","test_ubrds6s40jsk_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:28 PST 2022","Sun Mar 06 23:20:29 PST 2022","408","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_sl0n0g5axk6d_browseFeaturedPlaylists","test_sl0n0g5axk6d_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:21 PST 2022","Sun Mar 06 23:20:21 PST 2022","203","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_1hv2rlzq81s8i_browseFeaturedPlaylists","test_1hv2rlzq81s8i_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:31 PST 2022","Sun Mar 06 23:20:31 PST 2022","104","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_ubp6npsy6erd_browseFeaturedPlaylists","test_ubp6npsy6erd_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:33 PST 2022","Sun Mar 06 23:20:33 PST 2022","106","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_vb3jsfgdjp6g_browseFeaturedPlaylists","test_vb3jsfgdjp6g_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:27 PST 2022","Sun Mar 06 23:20:27 PST 2022","94","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_rhjcz37sacdx_browseFeaturedPlaylists","test_rhjcz37sacdx_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:23 PST 2022","Sun Mar 06 23:20:24 PST 2022","114","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_1jefxhzf1ovuf_browseFeaturedPlaylists","test_1jefxhzf1ovuf_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:20 PST 2022","Sun Mar 06 23:20:21 PST 2022","119","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_1hrj8qry2uw6d_browseFeaturedPlaylists","test_1hrj8qry2uw6d_browseFeaturedPlaylists",""
