"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 07 23:46:24 PST 2022","Mon Mar 07 23:46:24 PST 2022","35","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_somyd6tspuep_SETOPERATIONID","test_somyd6tspuep_SETOPERATIONID",""
"failed","Mon Mar 07 23:46:21 PST 2022","Mon Mar 07 23:46:21 PST 2022","35","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_s0x92h8u6ixx_SETOPERATIONID","test_s0x92h8u6ixx_SETOPERATIONID",""
"failed","Mon Mar 07 21:25:53 PST 2022","Mon Mar 07 21:25:53 PST 2022","40","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_1jylkw1vm69tg_SETOPERATIONID","test_1jylkw1vm69tg_SETOPERATIONID",""
"failed","Mon Mar 07 23:46:30 PST 2022","Mon Mar 07 23:46:30 PST 2022","29","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_u7ohntlcuera_SETOPERATIONID","test_u7ohntlcuera_SETOPERATIONID",""
"failed","Mon Mar 07 21:26:01 PST 2022","Mon Mar 07 21:26:01 PST 2022","49","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_to4jax6bcqb8_SETOPERATIONID","test_to4jax6bcqb8_SETOPERATIONID",""
"failed","Mon Mar 07 21:25:54 PST 2022","Mon Mar 07 21:25:54 PST 2022","90","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_qe9f79mgt3qs_SETOPERATIONID","test_qe9f79mgt3qs_SETOPERATIONID",""
"failed","Mon Mar 07 21:26:03 PST 2022","Mon Mar 07 21:26:03 PST 2022","40","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_ubome4iul5px_SETOPERATIONID","test_ubome4iul5px_SETOPERATIONID",""
"failed","Mon Mar 07 23:46:18 PST 2022","Mon Mar 07 23:46:18 PST 2022","79","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_qdsqztw00gtt_SETOPERATIONID","test_qdsqztw00gtt_SETOPERATIONID",""
"passed","Mon Mar 07 21:25:53 PST 2022","Mon Mar 07 21:25:53 PST 2022","32","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_1jyodu7apbewi_SETOPERATIONID","test_1jyodu7apbewi_SETOPERATIONID",""
"failed","Mon Mar 07 21:25:52 PST 2022","Mon Mar 07 21:25:52 PST 2022","44","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_1jy7ogk9bwy0g_SETOPERATIONID","test_1jy7ogk9bwy0g_SETOPERATIONID",""
"failed","Mon Mar 07 23:46:15 PST 2022","Mon Mar 07 23:46:15 PST 2022","32","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_1ji4ioz1g7qd5_SETOPERATIONID","test_1ji4ioz1g7qd5_SETOPERATIONID",""
"failed","Mon Mar 07 23:46:31 PST 2022","Mon Mar 07 23:46:31 PST 2022","27","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_u7rao3l1pfso_SETOPERATIONID","test_u7rao3l1pfso_SETOPERATIONID",""
"passed","Mon Mar 07 21:25:53 PST 2022","Mon Mar 07 21:25:53 PST 2022","37","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_1jygkd7rvtdnl_SETOPERATIONID","test_1jygkd7rvtdnl_SETOPERATIONID",""
"failed","Mon Mar 07 21:25:53 PST 2022","Mon Mar 07 21:25:53 PST 2022","42","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_1k1zhqdsh606b_SETOPERATIONID","test_1k1zhqdsh606b_SETOPERATIONID",""
